Column1,Address,Price,Zip Code,Size,Neighbourhood
1869,"7619 SE Insley St, Portland, OR 97206",375000,97206,2400,Foster Powell
1875,"5425 SE 46th Ave, Portland, OR 97206",450000,97206,1864,Foster Powell
1884,"5720 SE 71st Ave, Portland, OR 97206",459000,97206,2263,Foster Powell
1906,"4710 SE Long St, Portland, OR 97206",525000,97206,2771,Foster Powell
1915,"8135 SE Ogden St, Portland, OR 97206",649000,97206,2121,Foster Powell
1927,"4812 SE Kelly St, Portland, OR 97206",950000,97206,2460,Foster Powell
1928,"3630 SE 64th Ave, Portland, OR 97206",519000,97206,2290,Foster Powell
1949,"5036 SE 58th Ave, Portland, OR 97206",364900,97206,720,Foster Powell
1996,"6936 SE Crystal Springs Blvd, Portland, OR 97206",469900,97206,1600,Foster Powell
2012,"4317 SE 79th Ave, Portland, OR 97206",365000,97206,1406,Foster Powell
2016,"3305 SE 74th Ave, Portland, OR 97206",375000,97206,740,Foster Powell
2030,"5026 SE 76th Ave, Portland, OR 97206",400000,97206,2296,Foster Powell
2047,"5839 SE Tenino St, Portland, OR 97206",549900,97206,1636,Foster Powell
2052,"8019 SE 68th Ave, Portland, OR 97206",425000,97206,1008,Foster Powell
2073,"7006 SE Mall St, Portland, OR 97206",429000,97206,768,Foster Powell
2082,"8125 SE 52nd Ave, Portland, OR 97206",429900,97206,1220,Foster Powell
2121,"7431 SE Ogden St, Portland, OR 97206",379999,97206,1373,Foster Powell
2139,"2636 SE 50th Ave, Portland, OR 97206",570000,97206,1847,Foster Powell
2159,"3530 SE 70th Ave, Portland, OR 97206",449000,97206,2240,Foster Powell
2234,"5230 SE Center St, Portland, OR 97206",649900,97206,2287,Foster Powell
