,Address,Price,Zip Code,Size,Neighbourhood
30,"9007 N Smith St, Portland, OR 97203",448970,97203,1158,Cathedral Park
118,"8043 N Hurst Ave, Portland, OR 97203",460000,97203,1674,Cathedral Park
149,"7439 N Huron Ave, Portland, OR 97203",549000,97203,1812,Cathedral Park
153,"6930 N McKenna Ave, Portland, OR 97203",550000,97203,1780,Cathedral Park
191,"8520 N John Ave, Portland, OR 97203",499900,97203,1080,Cathedral Park
232,"8954 N Van Houten Ave, Portland, OR 97203",639000,97203,2688,Cathedral Park
255,"4719 N Willamette Blvd, Portland, OR 97203",775000,97203,2818,Cathedral Park
256,"8317 N Smith St, Portland, OR 97203",599900,97203,2181,Cathedral Park
382,"9454 N Tyler St Unit A, Portland, OR 97203",399999,97203,1117,Cathedral Park
387,"9748 N Hodge Ave, Portland, OR 97203",489900,97203,1631,Cathedral Park
406,"8567 N Mohawk Ave, Portland, OR 97203",615000,97203,2400,Cathedral Park
439,"5238 N Princeton St, Portland, OR 97203",559900,97203,2268,Cathedral Park
443,"9738 N Hodge Ave, Portland, OR 97203",430000,97203,1577,Cathedral Park
481,"9208 N Wall Ave, Portland, OR 97203",459900,97203,1390,Cathedral Park
527,"10387 N Mohawk Ave, Portland, OR 97203",465000,97203,1400,Cathedral Park
531,"8014 N Johnswood Dr, Portland, OR 97203",650000,97203,2184,Cathedral Park
537,"8580 N John Ave, Portland, OR 97203",349999,97203,888,Cathedral Park
548,"8504 N Foss Ave, Portland, OR 97203",450000,97203,1256,Cathedral Park
554,"9522 N Exeter Ave, Portland, OR 97203",559900,97203,1860,Cathedral Park
589,"8039 N Lombard Way, Portland, OR 97203",499950,97203,1693,Cathedral Park
673,"8542 N Tyler Ave, Portland, OR 97203",454500,97203,1892,Cathedral Park
714,"7569 N Leavitt Ave, Portland, OR 97203",410000,97203,1670,Cathedral Park
718,"9805 N Clarendon Ave, Portland, OR 97203",485000,97203,1326,Cathedral Park
734,"7411 N Bank St, Portland, OR 97203",450000,97203,1491,Cathedral Park
756,"6225 N Amherst St, Portland, OR 97203",625000,97203,1416,Cathedral Park
771,"6706 N Richmond Ave, Portland, OR 97203",325000,97203,1147,Cathedral Park
866,"8004 N Haven Ave, Portland, OR 97203",449900,97203,1100,Cathedral Park
874,"9715 N Edison St, Portland, OR 97203",429000,97203,1104,Cathedral Park
878,"9131 N Westanna Ct, Portland, OR 97203",550000,97203,1350,Cathedral Park
890,"9004 N Oswego Ave, Portland, OR 97203",419000,97203,1136,Cathedral Park
898,"8325 N Bliss St, Portland, OR 97203",415000,97203,944,Cathedral Park
933,"7014 N Wellesley Ave, Portland, OR 97203",599000,97203,2322,Cathedral Park
936,"9333 N Lombard St Apt 9, Portland, OR 97203",239999,97203,717,Cathedral Park
946,"7106 N Armour St, Portland, OR 97203",460000,97203,992,Cathedral Park
950,"7735 N Edison St, Portland, OR 97203",600000,97203,1959,Cathedral Park
1003,"8035 N Lombard Way, Portland, OR 97203",599950,97203,2266,Cathedral Park
1056,"9326 N Smith St, Portland, OR 97203",540000,97203,1816,Cathedral Park
1073,"7444 N Fiske Ave, Portland, OR 97203",725000,97203,2856,Cathedral Park
1080,"9128 N Hudson St, Portland, OR 97203",425000,97203,1545,Cathedral Park
1124,"8707 N Crawford St, Portland, OR 97203",375000,97203,1216,Cathedral Park
1145,"8102 N Dana Ave, Portland, OR 97203",389900,97203,848,Cathedral Park
