Address,Price,Beds,Baths,Sizes
"3548 SE Brooklyn St, Portland, OR 97202","$549,900 ",4,2,"1,726sqft"
"4703 N Colonial Ave, Portland, OR 97217","$410,000 ",2,1,"1,800sqft"
"5724 NE Milton St, Portland, OR 97213","$625,000 ",3,3,"3,532sqft"
"5149 NE Davis St, Portland, OR 97213","$639,000 ",3,2,"1,836sqft"
"5322 NE 11th Ave, Portland, OR 97211","$434,000 ",2,1,961sqft
"1503 SW Hall St Unit A, Portland, OR 97201","$380,000 ",2,2,"1,245sqft"
"2139 SE Tibbetts St, Portland, OR 97202","$950,000 ",5,3,"2,680sqft"
"416 NW 13th Ave Apt 404, Portland, OR 97209","$1,250,000 ",2,2,"2,056sqft"
"16136 NW Fescue Ct, Portland, OR 97229","$449,900 ",3,3,"1,480sqft"
"1265 S Military Rd, Portland, OR 97219","$1,995,000 ",4,5,"5,355sqft"
"8410 SW 45th Ave, Portland, OR 97219","$499,900 ",2,1,"2,361sqft"
"7639 N Brandon Ave, Portland, OR 97217","$599,000 ",3,2,"2,136sqft"
"11615 NE Clackamas St, Portland, OR 97220","$499,999 ",3,2,"1,612sqft"
"937 NW Glisan St Unit 1431, Portland, OR 97209","$849,900 ",2,2,"1,498sqft"
"1620 NE Broadway St Unit 230, Portland, OR 97232","$620,000 ",2,2,"1,299sqft"
"510 NE 80th Ave, Portland, OR 97213","$599,000 ",4,2,"2,474sqft"
"6224 NE Willow St, Portland, OR 97213","$394,800 ",3,1,984sqft
"4219 SE 25th Ave, Portland, OR 97202","$456,000 ",3,1,888sqft
"3147 NE 32nd Ave, Portland, OR 97212","$599,900 ",3,1,"2,040sqft"
"18557 NE Davis St, Portland, OR 97230","$425,000 ",3,2,"1,512sqft"
"3707 SW Cullen Blvd, Portland, OR 97221","$829,000 ",4,3,"3,583sqft"
"2935 NE 54th Ave, Portland, OR 97213","$599,000 ",3,2,"1,282sqft"
"3534 SW Gale Ave, Portland, OR 97239","$2,475,000 ",4,5,"5,121sqft"
"1215 SW Kari Ln, Portland, OR 97219","$950,000 ",5,3,"3,112sqft"
"1221 SW 10th Ave Unit 601, Portland, OR 97205","$1,074,900 ",2,3,"2,060sqft"
"2212 NW Crestview Way, Portland, OR 97229","$1,495,000 ",4,4,"4,171sqft"
"3400 SW Sherwood Pl, Portland, OR 97239","$899,900 ",3,4,"4,564sqft"
"4135 SE 65th Ave, Portland, OR 97206","$559,000 ",3,1,"2,212sqft"
"2621 N Sumner St, Portland, OR 97217","$750,000 ",3,2,"2,001sqft"
"2846 NW Fairfax Ter, Portland, OR 97210","$2,995,000 ",5,5,"6,136sqft"
"9810 SW Melnore St, Portland, OR 97225","$1,395,000 ",4,4,"3,112sqft"
"7280 SW 92nd Ave, Portland, OR 97223","$560,000 ",3,1,"1,110sqft"
"7002 SE Woodward St, Portland, OR 97206","$675,000 ",4,2,"2,546sqft"
"16739 NW Stalder Ln, Portland, OR 97229","$825,000 ",5,3,"2,266sqft"
"7421 S Miles Pl, Portland, OR 97219","$562,500 ",2,2,"1,250sqft"
"821 NW 11th Ave Apt 105, Portland, OR 97209","$799,000 ",2,2,"1,425sqft"
"7700 SW Barnes Rd Unit D, Portland, OR 97225","$249,900 ",2,1,800sqft
"8825 NE Everett St, Portland, OR 97220","$575,000 ",5,2,"2,842sqft"
"2309 SW 1st Ave Apt 343, Portland, OR 97201","$396,000 ",2,2,"1,332sqft"
"15815 SE Nehalem St, Portland, OR 97236","$699,900 ",4,3,"2,736sqft"
"547 NE Royal Ct, Portland, OR 97232","$819,000 ",3,2,"2,793sqft"
"18125 SE Stephens St, Portland, OR 97233","$359,900 ",3,1,"1,064sqft"
"7816 SE 60th Ave, Portland, OR 97206","$497,900 ",3,3,"1,545sqft"
"131 N Russet St, Portland, OR 97217","$549,990 ",3,1,"2,496sqft"
"2393 SW Park Pl Unit 302, Portland, OR 97205","$489,000 ",2,2,"1,155sqft"
"8035 N Lombard Way, Portland, OR 97203","$599,950 ",4,3,"2,266sqft"
"4037 NE 8th Ave, Portland, OR 97212","$599,000 ",3,2,"1,950sqft"
"922 NW 11th Ave Apt 915, Portland, OR 97209","$949,000 ",2,3,"1,734sqft"
"5506 NE Ainsworth St, Portland, OR 97218","$675,000 ",3,2,"2,160sqft"
"4780 NW Malhuer Ave, Portland, OR 97229","$850,000 ",3,3,"2,177sqft"
"101 NE 125th Ave, Portland, OR 97230","$420,000 ",3,2,"1,226sqft"
"7627 SE 32nd Ave, Portland, OR 97202","$1,275,000 ",4,2,"3,641sqft"
"4925 SW Humphrey Park Cres, Portland, OR 97221","$1,295,000 ",5,3,"4,203sqft"
"2933 SW Miles St, Portland, OR 97219","$350,000 ",2,1,927sqft
"1926 SE 21st Ave, Portland, OR 97214","$579,000 ",2,1,"1,279sqft"
"6849 N Newcastle Ave, Portland, OR 97217","$449,997 ",2,1,"1,694sqft"
"18504 NE Davis St, Portland, OR 97230","$349,000 ",3,2,"1,184sqft"
"4669 NE Simpson St, Portland, OR 97218","$750,000 ",3,2,"2,155sqft"
"7734 SE 66th Pl, Portland, OR 97206","$299,000 ",2,1,868sqft
"17387 NW Anita St, Portland, OR 97229","$928,310 ",4,3,"3,046sqft"
"8240 N Montana Ave, Portland, OR 97217","$649,900 ",4,3,"2,372sqft"
"11605 NE Fargo St, Portland, OR 97220","$394,900 ",3,2,"1,391sqft"
"325 NE 114th Ave, Portland, OR 97220","$499,000 ",4,2,"2,474sqft"
"18335 NE Couch St, Portland, OR 97230","$489,900 ",3,2,"1,778sqft"
"6306 SE 52nd Ave, Portland, OR 97206","$599,950 ",3,1,"2,327sqft"
"3022 SW Carson St, Portland, OR 97219","$307,500 ",3,1,"1,014sqft"
"2211 SW 1st Ave Unit 1303, Portland, OR 97201","$339,000 ",2,2,"1,268sqft"
"8400 SE Buford Ln, Portland, OR 97236","$799,990 ",5,4,"4,327sqft"
"4830 SE Stark St Apt 5, Portland, OR 97215","$325,000 ",2,2,821sqft
"2525 NE 42nd Ave, Portland, OR 97213","$889,000 ",4,2,"2,437sqft"
"5858 S Riveridge Ln Apt 17, Portland, OR 97239","$364,900 ",2,2,"1,286sqft"
"1223 NW 19th Ave, Portland, OR 97209","$875,000 ",2,3,"1,500sqft"
"3503 SE 73rd Ave, Portland, OR 97206","$369,900 ",3,3,"1,402sqft"
"8634 NE Milton St, Portland, OR 97220","$435,000 ",3,2,"1,222sqft"
"1775 SW 87th Ave, Portland, OR 97225","$924,900 ",6,5,"4,090sqft"
"15865 NW Gooderham St Unit L95, Portland, OR 97229","$1,270,995 ",6,4,"3,581sqft"
"1431 SE 135th Ave, Portland, OR 97233","$399,900 ",3,2,"1,052sqft"
"13170 NW Helen Ln, Portland, OR 97229","$1,095,000 ",4,4,"3,033sqft"
"2630 N Hayden Island Dr Slip 1, Portland, OR 97217","$825,000 ",5,3,"2,428sqft"
"1677 N Jantzen Ave, Portland, OR 97217","$599,000 ",2,3,"1,628sqft"
"5736 S Riverpoint Ln, Portland, OR 97239","$899,000 ",2,2,"1,639sqft"
"260 SE Spokane St, Portland, OR 97202","$950,000 ",2,3,"2,591sqft"
"205 NE 156th Ave, Portland, OR 97230","$399,000 ",3,2,"1,014sqft"
"1661 S Radcliffe Rd, Portland, OR 97219","$1,995,000 ",6,4,"5,414sqft"
"2638 SE Lincoln St, Portland, OR 97214","$975,000 ",5,4,"2,964sqft"
"311 NE 56th Ave, Portland, OR 97213","$450,000 ",2,3,"1,329sqft"
"324 NE 184th Pl, Portland, OR 97230","$425,000 ",3,2,"1,292sqft"
"15907 SE Brooklyn St, Portland, OR 97236","$375,000 ",3,1,924sqft
"5609 NW Primino Ave, Portland, OR 97229","$975,000 ",5,3,"3,600sqft"
"9271 SW 7th Ave, Portland, OR 97219","$569,000 ",4,2,"2,320sqft"
"2623 NE 132nd Ave, Portland, OR 97230","$499,900 ",4,2,"1,832sqft"
"1235 N Morgan St, Portland, OR 97217","$405,000 ",2,3,"1,039sqft"
"3605 NW 147th Pl, Portland, OR 97229","$925,000 ",2,2,"2,051sqft"
"2632 SW Sherwood Dr, Portland, OR 97201","$749,000 ",3,2,"1,563sqft"
"NE 108th Ave, Portland, OR 97220","$249,000 ",3,2,"2,696sqft"
"406 N Hayden Island Dr, Portland, OR 97217","$244,000 ",2,2,"1,184sqft"
"2820 SE 157th Ave, Portland, OR 97236","$499,900 ",3,2,"1,791sqft"
"425 N Marine Dr, Portland, OR 97217","$415,000 ",2,1,744sqft
"9326 N Smith St, Portland, OR 97203","$540,000 ",2,1,"1,816sqft"
"17269 NW Crosshaven St, Portland, OR 97229","$599,900 ",4,3,"2,000sqft"
"3323 SE 28th Pl, Portland, OR 97202","$659,900 ",3,2,"1,950sqft"
"719 NE Church St, Portland, OR 97211","$425,000 ",3,1,"1,280sqft"
"2704 SE 84th Ave, Portland, OR 97266","$399,500 ",7,4,"2,970sqft"
"3577 SE Woodward St, Portland, OR 97202","$699,000 ",4,2,"2,107sqft"
"7008 NE 27th Ave, Portland, OR 97211","$695,000 ",3,2,"2,308sqft"
"3908 SE Steele St, Portland, OR 97202","$650,000 ",5,2,"2,608sqft"
"5509 SE 111th Ave, Portland, OR 97266","$358,000 ",3,2,"1,040sqft"
"3639 NE Rodney Ave, Portland, OR 97212","$799,000 ",4,3,"2,448sqft"
"3644 SW 60th Pl, Portland, OR 97221","$1,674,990 ",5,5,"4,975sqft"
"8027 SE 52nd Ave, Portland, OR 97206","$420,000 ",2,2,"1,452sqft"
"5325 NE 60th Ave, Portland, OR 97218","$475,000 ",5,2,"1,949sqft"
"11821 SE Ash St, Portland, OR 97216","$450,000 ",3,3,"1,638sqft"
"2935 NE 57th Ave, Portland, OR 97213","$549,990 ",3,1,"2,904sqft"
"610 S Nevada St Apt F, Portland, OR 97219","$429,000 ",2,2,"1,368sqft"
"1417 SW Highland Pkwy, Portland, OR 97221","$1,295,000 ",4,5,"4,094sqft"
"7444 N Fiske Ave, Portland, OR 97203","$725,000 ",4,2,"2,856sqft"
"2825 NE 18th Ave, Portland, OR 97212","$825,000 ",4,2,"2,996sqft"
"1414 SW 3rd Ave Apt 2202, Portland, OR 97201","$850,000 ",2,2,"2,102sqft"
"7033 N Greenwich Ave, Portland, OR 97217","$365,400 ",2,2,"1,359sqft"
"1225 SE Oak St, Portland, OR 97214","$649,900 ",3,3,"2,145sqft"
"6323 SE Dunbar Dr, Portland, OR 97236","$599,000 ",3,3,"2,215sqft"
"19232 NE Hassalo St, Portland, OR 97230","$415,000 ",3,1,"1,092sqft"
"9128 N Hudson St, Portland, OR 97203","$425,000 ",3,3,"1,545sqft"
"4650 NE 70th Ave, Portland, OR 97218","$450,000 ",3,2,"1,440sqft"
"2608 N Hunt St, Portland, OR 97217","$465,000 ",2,2,"1,240sqft"
"5610 SE Steele St, Portland, OR 97206","$475,000 ",3,1,"1,459sqft"
"7359 NW Imogene Ter, Portland, OR 97229","$999,977 ",5,3,"2,870sqft"
"7353 NW Oakfern Dr, Portland, OR 97229","$1,187,915 ",4,4,"3,482sqft"
"1787 N Ainsworth St, Portland, OR 97217","$769,000 ",3,4,"2,269sqft"
"5880 SW 67th Pl, Portland, OR 97225","$969,950 ",4,3,"2,855sqft"
"3544 NE 134th Ave, Portland, OR 97230","$474,900 ",4,4,"1,738sqft"
"2300 SE 82nd Ave Unit 3, Portland, OR 97216","$65,900 ",2,2,520sqft
"9257 SE Clinton St Unit 401, Portland, OR 97266","$210,000 ",2,1,760sqft
"10111 SE Clatsop St, Portland, OR 97266","$600,000 ",5,4,"3,045sqft"
"5733 SE 84th Ave, Portland, OR 97266","$450,000 ",3,2,"1,978sqft"
"4634 SE 34th Ave, Portland, OR 97202","$495,000 ",3,1,"2,000sqft"
"4326 SE Ivon St, Portland, OR 97206","$499,900 ",2,1,"1,862sqft"
"7049 SE Taggart St, Portland, OR 97206","$437,500 ",2,1,870sqft
"5222 SE Center St, Portland, OR 97206","$600,000 ",3,2,"2,848sqft"
"9929 SE Harold St, Portland, OR 97266","$299,000 ",3,1,960sqft
"4631 SE 75th Ave, Portland, OR 97206","$424,000 ",3,1,"1,390sqft"
"2229 NE Thompson St, Portland, OR 97212","$2,750,000 ",7,6,"5,721sqft"
"2310 NE 158th Ave, Portland, OR 97230","$399,900 ",2,2,"1,025sqft"
"3536 NE 67th Ave, Portland, OR 97213","$449,000 ",2,1,"1,311sqft"
"6519 SE 140th Ave, Portland, OR 97236","$350,000 ",3,1,888sqft
"1001 NW Lovejoy St Unit 809, Portland, OR 97209","$725,000 ",2,2,"1,252sqft"
"6792 SW Florence Ln, Portland, OR 97223","$979,900 ",6,4,"3,474sqft"
"2034 NE Bryant St, Portland, OR 97211","$675,000 ",3,2,"2,729sqft"
"950 NE Hazelfern Pl, Portland, OR 97232","$855,000 ",3,3,"2,936sqft"
"10029 SW 52nd Ave, Portland, OR 97219","$499,000 ",3,2,"1,454sqft"
"8454 N Seward Ave, Portland, OR 97217","$539,900 ",3,3,"1,545sqft"
"3439 SW Dickinson St, Portland, OR 97219","$699,900 ",4,3,"3,193sqft"
"17179 NE Flanders Way, Portland, OR 97230","$369,000 ",3,3,"1,456sqft"
"2536 NE 10th Ave, Portland, OR 97212","$949,900 ",5,4,"3,253sqft"
"4531 SE Lincoln St, Portland, OR 97215","$425,000 ",2,1,"1,318sqft"
"2506 N Willamette Blvd, Portland, OR 97217","$719,900 ",3,2,"2,861sqft"
"1510 S Carey Ln, Portland, OR 97219","$895,000 ",2,2,"1,642sqft"
"11083 SW Celeste Ln, Portland, OR 97225","$469,900 ",2,3,"1,663sqft"
"9125 SE Alder St, Portland, OR 97216","$389,900 ",2,1,804sqft
"2836 SE 47th Ave, Portland, OR 97206","$429,900 ",2,1,"1,482sqft"
"1915 SE 94th Ave, Portland, OR 97216","$429,900 ",4,3,"1,548sqft"
"15126 NW Cosmos St, Portland, OR 97229","$549,900 ",3,3,"1,540sqft"
"1995 N Jantzen Ave, Portland, OR 97217","$224,000 ",2,1,"1,516sqft"
"7528 SE 36th Ave, Portland, OR 97202","$690,000 ",3,2,"1,744sqft"
"835 NE 90th Ave, Portland, OR 97220","$279,000 ",3,2,"1,250sqft"
"4505 SE Powell Butte Pkwy, Portland, OR 97236","$479,900 ",3,2,"1,487sqft"
"8707 N Crawford St, Portland, OR 97203","$375,000 ",2,3,"1,216sqft"
"8108 SE Rhine St, Portland, OR 97206","$329,900 ",3,1,980sqft
"6614 N Missouri Ave, Portland, OR 97217","$450,000 ",2,2,"2,164sqft"
"5435 SE 104th Ave, Portland, OR 97266","$314,000 ",4,1,"1,170sqft"
"855 SW Broadway Dr Apt 22, Portland, OR 97201","$259,900 ",2,2,861sqft
"3025 SE 162nd Ave, Portland, OR 97236","$375,000 ",3,2,"1,717sqft"
"7605 N Denver Ave, Portland, OR 97217","$325,000 ",3,1,"2,188sqft"
"9233 SE Harrison St, Portland, OR 97216","$470,000 ",3,2,"1,848sqft"
"2639 N Sumner St, Portland, OR 97217","$539,000 ",3,2,"2,646sqft"
"2223 SE 89th Ave, Portland, OR 97216","$365,000 ",3,3,"1,480sqft"
"2631 N Sumner St, Portland, OR 97217","$539,000 ",3,2,"2,415sqft"
"10920 SE Clay St, Portland, OR 97216","$599,900 ",4,3,"2,722sqft"
"11328 SE Ogden St, Portland, OR 97266","$599,900 ",3,3,"2,105sqft"
"16653 NE Halsey St, Portland, OR 97230","$319,500 ",2,2,990sqft
"9626 SW 50th Ave, Portland, OR 97219","$409,000 ",3,1,960sqft
"1903 NE 125th Ave, Portland, OR 97230","$405,000 ",3,2,"1,008sqft"
"9326 SW 51st Ave, Portland, OR 97219","$499,000 ",3,2,"1,364sqft"
"2743 NE 29th Ave, Portland, OR 97212","$1,150,000 ",3,2,"3,325sqft"
"17155 SE Taylor St, Portland, OR 97233","$435,000 ",3,2,"1,254sqft"
"2006 NE Liberty St, Portland, OR 97211","$599,900 ",2,2,"2,096sqft"
"365 NE 72nd Ave, Portland, OR 97213","$699,999 ",5,4,"1,952sqft"
"8102 N Dana Ave, Portland, OR 97203","$389,900 ",2,1,848sqft
"2630 N Hayden Island Dr Slip 12, Portland, OR 97217","$630,000 ",2,2,"1,407sqft"
"1310 NW Naito Pkwy Unit 101A, Portland, OR 97209","$643,400 ",2,2,"1,595sqft"
"3435 SW 44th Ave, Portland, OR 97221","$1,149,900 ",4,4,"4,000sqft"
"4695 NW Kahneeta Dr, Portland, OR 97229","$529,900 ",3,2,"1,450sqft"
"1550 N Webster St, Portland, OR 97217","$649,000 ",4,2,"1,544sqft"
"826 NE Ainsworth St, Portland, OR 97211","$598,750 ",4,2,"2,111sqft"
"6 NE 74th Ave, Portland, OR 97213","$625,000 ",4,2,"1,792sqft"
"7128 N Curtis Ave, Portland, OR 97217","$730,000 ",3,3,"1,890sqft"
"6071 SE Lexington St, Portland, OR 97206","$499,950 ",3,3,"1,696sqft"
"311 NW 12th Ave Unit 505, Portland, OR 97209","$850,000 ",2,2,"1,663sqft"
"4417 SW Vacuna St, Portland, OR 97219","$649,900 ",3,3,"1,788sqft"
"5250 S Landing Square Dr Unit 22, Portland, OR 97239","$1,130,000 ",2,3,"2,204sqft"
"3910 NE Killingsworth St, Portland, OR 97211","$399,900 ",2,2,876sqft
"5414 NW 146th Ave, Portland, OR 97229","$799,900 ",3,2,"2,025sqft"
"3636 NW Tustin Ranch Dr, Portland, OR 97229","$739,900 ",4,3,"2,547sqft"
"1136 SE Sherrett St, Portland, OR 97202","$975,757 ",4,3,"2,598sqft"
"7352 NW Catapla St, Portland, OR 97229","$1,064,855 ",4,3,"3,069sqft"
"15982 NW Rossetta St, Portland, OR 97229","$875,000 ",6,4,"3,082sqft"
"4233 SE Malden St, Portland, OR 97206","$499,000 ",3,2,"1,736sqft"
"11440 SW Lynnvale Dr, Portland, OR 97225","$599,000 ",3,2,"2,309sqft"
"816 SW Terwilliger Pl, Portland, OR 97239","$850,000 ",3,4,"2,508sqft"
"3702 SE 32nd Ave, Portland, OR 97202","$520,000 ",3,1,"2,368sqft"
"2411 NW Mill Pond Rd, Portland, OR 97229","$938,000 ",4,3,"3,609sqft"
"5745 NE Failing St, Portland, OR 97213","$474,900 ",3,2,"1,850sqft"
"17364 NW Twinberry Ln, Portland, OR 97229","$910,630 ",5,4,"2,793sqft"
"1924 SE 150th Ave, Portland, OR 97233","$400,000 ",3,2,"1,684sqft"
"8027 SE Taylor St, Portland, OR 97215","$575,000 ",4,2,"2,261sqft"
"10334 SW 43rd Ave, Portland, OR 97219","$450,000 ",3,2,"1,221sqft"
"2911 SW Dickinson St, Portland, OR 97219","$550,000 ",2,2,"1,493sqft"
"202 SE 195th Ave, Portland, OR 97233","$374,900 ",3,2,"1,128sqft"
"10939 SW 37th Ave, Portland, OR 97219","$535,000 ",3,2,"1,104sqft"
"6623 NE Garfield Ave, Portland, OR 97211","$769,999 ",5,3,"2,241sqft"
"4018 SW Westdale Dr, Portland, OR 97221","$1,149,000 ",4,4,"3,278sqft"
"11121 SE Flavel St, Portland, OR 97266","$775,000 ",5,5,"4,303sqft"
"11531 SE Washington St, Portland, OR 97216","$369,900 ",2,1,960sqft
"5170 NW Neakahnie Ave Apt 4, Portland, OR 97229","$260,000 ",2,1,742sqft
"8437 N Bliss St, Portland, OR 97203","$375,000 ",2,1,944sqft
"1844 SE 12th Ave, Portland, OR 97214","$1,299,000 ",6,5,"3,971sqft"
"3439 NE 78th Ave, Portland, OR 97213","$485,000 ",3,3,"1,504sqft"
"7375 SW Ashdale Dr, Portland, OR 97223","$650,000 ",4,3,"1,929sqft"
"8640 SW 21st Ave, Portland, OR 97219","$445,000 ",2,1,"2,238sqft"
"841 S Gaines St Unit 1506, Portland, OR 97239","$1,299,000 ",2,3,"1,894sqft"
"2246 SE 139th Ave, Portland, OR 97233","$419,900 ",3,2,"1,233sqft"
"2125 NW 33rd Ave, Portland, OR 97210","$650,000 ",3,2,"2,654sqft"
"1407 NE 69th Ave, Portland, OR 97213","$445,000 ",3,3,"1,877sqft"
"13334 NW Hartford St, Portland, OR 97229","$800,000 ",4,3,"2,441sqft"
"4207 SE Henderson St, Portland, OR 97206","$695,000 ",3,3,"1,878sqft"
"4650 NW 126th Pl, Portland, OR 97229","$825,000 ",4,3,"2,956sqft"
"1616 S Harbor Way Unit 604, Portland, OR 97201","$675,000 ",2,2,"1,536sqft"
"1556 SE Lexington St, Portland, OR 97202","$840,000 ",3,2,"2,996sqft"
"6415 SE Tibbetts St, Portland, OR 97206","$489,500 ",3,1,"1,416sqft"
"4735 SW Beaverton Hillsdale Hwy, Portland, OR 97221","$475,000 ",2,2,"2,352sqft"
"9268 SE Duke St, Portland, OR 97266","$375,000 ",2,1,"1,076sqft"
"2328 NW Glisan St Apt 3, Portland, OR 97210","$435,000 ",2,1,"1,052sqft"
"16712 NW Waterford Way, Portland, OR 97229","$739,900 ",4,3,"2,378sqft"
"4621 SE 134th Ave Unit 114, Portland, OR 97236","$139,500 ",3,2,"1,248sqft"
"10136 NW Skyline Heights Dr, Portland, OR 97229","$929,000 ",4,3,"2,684sqft"
"17416 NW Twinberry Ln, Portland, OR 97229","$909,160 ",5,3,"3,055sqft"
"10020 SE Grant St, Portland, OR 97216","$499,999 ",4,2,"2,288sqft"
"7305 SW 26th Ave, Portland, OR 97219","$1,250,000 ",5,3,"3,047sqft"
"4404 SE 64th Ave, Portland, OR 97206","$579,900 ",4,2,"1,972sqft"
"13247 SE Bush St, Portland, OR 97236","$399,000 ",3,1,"2,212sqft"
"833 NW 25th Ave, Portland, OR 97210","$874,950 ",3,3,"1,878sqft"
"15768 SE Powell Blvd Unit 31, Portland, OR 97236","$119,000 ",3,2,"1,296sqft"
"806 N Holland Ave, Portland, OR 97217","$595,000 ",3,1,"2,449sqft"
"8802 NE Everett St, Portland, OR 97220","$450,000 ",3,2,"1,450sqft"
"6310 SW 35th Ave, Portland, OR 97221","$525,000 ",2,1,"1,578sqft"
"7206 S Virginia Ave, Portland, OR 97219","$1,000,000 ",4,3,"2,118sqft"
"4848 NE 7th Ave, Portland, OR 97211","$579,900 ",4,2,"2,382sqft"
"4646 NE 97th Ave, Portland, OR 97220","$390,999 ",3,2,"3,072sqft"
"7502 SE 64th Ave, Portland, OR 97206","$399,500 ",3,2,"1,686sqft"
"4923 NE 23rd Ave, Portland, OR 97211","$625,000 ",2,2,"2,588sqft"
"6604 NE Alberta St, Portland, OR 97218","$650,000 ",3,2,"2,132sqft"
"311 NW 12th Ave Unit 1304, Portland, OR 97209","$1,199,000 ",2,2,"1,663sqft"
"10708 SW 59th Dr, Portland, OR 97219","$489,000 ",3,2,"1,281sqft"
"11920 NW Thelin Ln Lot 92, Portland, OR 97229","$979,950 ",4,3,"2,829sqft"
"6954 N Oatman Ave, Portland, OR 97217","$599,000 ",3,2,"2,238sqft"
"2909 SE 168th Ave, Portland, OR 97236","$415,000 ",5,2,"2,744sqft"
"24800 NW Saint Helens Rd Unit L02, Portland, OR 97231","$298,500 ",2,1,820sqft
"8930 SE Rural St, Portland, OR 97266","$395,000 ",4,2,"2,324sqft"
"2642 SW Chelmsford Ave, Portland, OR 97201","$1,850,000 ",4,3,"4,161sqft"
"4914 SE Henderson St, Portland, OR 97206","$614,950 ",4,3,"1,597sqft"
"4930 SE Henderson St, Portland, OR 97206","$599,950 ",4,3,"1,551sqft"
"19844 NE Multnomah St, Portland, OR 97230","$502,656 ",3,2,"1,584sqft"
"3441 SE 111th Ave Unit 15, Portland, OR 97266","$38,000 ",3,2,720sqft
"6204 SE Flavel St, Portland, OR 97206","$550,000 ",3,2,"1,920sqft"
"111 S California St, Portland, OR 97219","$999,000 ",3,3,"3,135sqft"
"8114 SE 63rd Ave, Portland, OR 97206","$384,999 ",2,1,676sqft
"4607 SE Knapp St, Portland, OR 97206","$719,800 ",3,3,"2,162sqft"
"205 NE 103rd Ave, Portland, OR 97220","$475,000 ",4,2,"2,800sqft"
"610 NE Cesar E Chavez Blvd, Portland, OR 97232","$995,000 ",6,4,"4,682sqft"
"12910 N Image Canoe Ave, Portland, OR 97217","$99,985 ",3,2,"1,584sqft"
"9025 NE Hoyt St, Portland, OR 97220","$529,000 ",3,4,"1,404sqft"
"9021 NE Hoyt St, Portland, OR 97220","$519,000 ",3,4,"1,404sqft"
"6099 NE Going St, Portland, OR 97218","$253,900 ",2,1,"1,180sqft"
"6625 N Campbell Ave, Portland, OR 97217","$729,900 ",4,3,"2,184sqft"
"10523 NE Brazee St, Portland, OR 97220","$414,900 ",3,2,"1,008sqft"
"6651 NE Wygant St, Portland, OR 97218","$414,000 ",3,2,"1,119sqft"
"1310 NW Naito Pkwy Unit 905A, Portland, OR 97209","$819,000 ",2,2,"1,484sqft"
"10915 NE San Rafael St, Portland, OR 97220","$414,900 ",3,1,"1,112sqft"
"2905 NE 58th Ave, Portland, OR 97213","$859,000 ",4,2,"2,760sqft"
"6616 SE 75th Ave, Portland, OR 97206","$410,000 ",3,1,950sqft
"1835 NE 92nd Ave, Portland, OR 97220","$460,000 ",3,1,"1,788sqft"
"2641 NW Sussex Ave, Portland, OR 97210","$529,900 ",3,3,"1,992sqft"
"15568 NW Wismer Dr, Portland, OR 97229","$819,000 ",5,3,"2,421sqft"
"5114 SW View Point Ter, Portland, OR 97239","$649,800 ",3,2,"1,290sqft"
"2514 NW 108th Ter, Portland, OR 97229","$1,050,000 ",5,3,"2,949sqft"
"915 SE 71st Ave, Portland, OR 97215","$729,000 ",4,2,"2,738sqft"
"3401 SE 129th Ave, Portland, OR 97236","$279,900 ",2,1,"2,124sqft"
"8140 SW Cedar St, Portland, OR 97225","$625,000 ",3,2,"1,506sqft"
"11430 SW Lynnvale Dr, Portland, OR 97225","$649,000 ",3,2,"2,787sqft"
"3601 S River Pkwy Unit 2110, Portland, OR 97239","$824,900 ",2,2,"1,831sqft"
"2542 SE 33rd Ave, Portland, OR 97202","$599,000 ",4,2,"2,760sqft"
"6870 SW Gable Pkwy, Portland, OR 97225","$779,900 ",3,3,"2,468sqft"
"5122 N Montana Ave, Portland, OR 97217","$399,900 ",2,1,"1,194sqft"
"5530 SE Morrison St, Portland, OR 97215","$779,900 ",4,3,"2,426sqft"
"5835 N Minnesota Ave, Portland, OR 97217","$529,000 ",4,3,"1,456sqft"
"5430 SE 114th Pl, Portland, OR 97266","$345,000 ",3,1,"1,451sqft"
"11919 SE Ash St, Portland, OR 97216","$276,000 ",2,1,"1,124sqft"
"6615 NE Garfield Ave, Portland, OR 97211","$475,000 ",2,1,"1,231sqft"
"6171 SW 18th Dr, Portland, OR 97239","$549,100 ",3,4,"1,450sqft"
"3620 NE 80th Ave, Portland, OR 97213","$465,000 ",2,1,"1,453sqft"
"10215 N Buchanan Ave, Portland, OR 97203","$465,000 ",2,1,"1,949sqft"
"2219 SE 146th Ave, Portland, OR 97233","$334,800 ",3,1,864sqft
"139 NE Stafford St, Portland, OR 97211","$485,000 ",2,1,"1,514sqft"
"15950 NW Claremont Dr, Portland, OR 97229","$819,900 ",2,2,"1,423sqft"
"1336 SE Pine St, Portland, OR 97214","$1,795,000 ",7,3,"4,536sqft"
"6425 SW Alfred St, Portland, OR 97219","$588,000 ",3,2,"1,676sqft"
"13121 NE Rose Pkwy, Portland, OR 97230","$699,100 ",5,3,"3,068sqft"
"5914 S Riveridge Ln, Portland, OR 97239","$397,000 ",2,2,"1,202sqft"
"7462 NW Oakfern Dr, Portland, OR 97229","$799,000 ",4,3,"2,386sqft"
"3116 SE Cesar E Chavez Blvd, Portland, OR 97202","$459,900 ",2,2,"2,149sqft"
"937 NW Glisan St Unit 1534, Portland, OR 97209","$1,995,000 ",2,2,"2,440sqft"
"8585 SW 82nd Ave, Portland, OR 97223","$500,000 ",3,1,"1,008sqft"
