Address,Price,Beds,Baths,Sizes
"10827 E Burnside St, Portland, OR 97216","$372,000 ",3,3,"1,345sqft"
"3234 SE 24th Ave, Portland, OR 97202","$599,000 ",2,1,"2,372sqft"
"12345 SE Long St, Portland, OR 97236","$314,500 ",2,3,"1,243sqft"
"17025 NE Glisan St, Portland, OR 97230","$410,000 ",3,1,"1,017sqft"
"3034 NE 36th Ave, Portland, OR 97212","$1,200,000 ",3,3,"2,082sqft"
"3029 S Water Ave, Portland, OR 97201","$439,000 ",5,3,"2,632sqft"
"2394 NE 148th Pl, Portland, OR 97230","$414,900 ",2,2,"1,307sqft"
"3776 SE 8th Ave, Portland, OR 97202","$487,500 ",4,3,"2,228sqft"
"5315 NE Cleveland Ave, Portland, OR 97211","$859,000 ",6,3,"2,999sqft"
"4705 SE Steele St, Portland, OR 97206","$699,900 ",4,2,"2,648sqft"
"9610 SE Crystal View Dr, Portland, OR 97266","$759,000 ",5,3,"3,259sqft"
"5734 NE 10th Ave, Portland, OR 97211","$599,900 ",3,1,"1,976sqft"
"3673 SE Rex St, Portland, OR 97202","$729,900 ",3,3,"1,693sqft"
"2310 SE 157th Ave, Portland, OR 97233","$475,000 ",4,2,"1,601sqft"
"2409 NW Marshall St, Portland, OR 97210","$1,300,000 ",5,4,"6,223sqft"
"7439 N Huron Ave, Portland, OR 97203","$549,000 ",2,2,"1,812sqft"
"1 NE Wygant St, Portland, OR 97211","$429,000 ",2,2,"1,200sqft"
"5744 SE Insley St, Portland, OR 97206","$595,000 ",3,3,"1,361sqft"
"10511 SW 42nd Ave, Portland, OR 97219","$769,900 ",5,3,"2,563sqft"
"6930 N McKenna Ave, Portland, OR 97203","$550,000 ",3,2,"1,780sqft"
"1021 NE 195th Ave, Portland, OR 97230","$410,000 ",3,3,"1,925sqft"
"633 N Webster St, Portland, OR 97217","$485,000 ",4,1,"2,044sqft"
"611 SE 142nd Ave Unit B, Portland, OR 97233","$339,900 ",2,2,864sqft
"1440 SW Broadway Dr, Portland, OR 97201","$457,000 ",3,3,"2,340sqft"
"4142 N Overlook Blvd, Portland, OR 97217","$699,900 ",4,2,"2,560sqft"
"3553 N Missouri Ave, Portland, OR 97227","$499,900 ",2,1,"1,598sqft"
"3052 SE 161st Ave, Portland, OR 97236","$435,000 ",3,3,"1,434sqft"
