,Neighborhood,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY
33491,Sunderland,Motor Vehicle Theft,45.5815262,-122.6504058,7651589.0,705439.0
33492,Sunderland,Motor Vehicle Theft,45.5815262,-122.6504058,7651589.0,705439.0
33493,Sunderland,Motor Vehicle Theft,45.5815262,-122.6504058,7651589.0,705439.0
33494,Sunderland,Motor Vehicle Theft,45.5815262,-122.6504058,7651589.0,705439.0
33495,Sunderland,Burglary,45.58215077,-122.6332185,7655994.0,705550.0
33496,Sunderland,Robbery,45.58215077,-122.6332185,7655994.0,705550.0
33497,Sunderland,All Other Larceny,45.58215077,-122.6332185,7655994.0,705550.0
33498,Sunderland,Motor Vehicle Theft,45.58215077,-122.6332185,7655994.0,705550.0
33499,Sunderland,All Other Larceny,45.58215077,-122.6332185,7655994.0,705550.0
33500,Sunderland,Theft From Motor Vehicle,45.58215077,-122.6332185,7655994.0,705550.0
33501,Sunderland,Theft From Motor Vehicle,45.58215077,-122.6332185,7655994.0,705550.0
33502,Sunderland,Burglary,45.58215077,-122.6332185,7655994.0,705550.0
33503,,Motor Vehicle Theft,45.57949899,-122.5751087,7670842.0,704196.0
33504,Roseway,Aggravated Assault,45.54953367,-122.579226,7669507.0,693301.0
33505,Roseway,False Pretenses/Swindle/Confidence Game,45.54962154,-122.5792214,7669509.0,693333.0
33506,Cully,Theft of Motor Vehicle Parts or Accessories,45.56505424,-122.5796659,7669540.0,698961.0
33507,Roseway,All Other Larceny,45.55096064,-122.579208,7669525.0,693821.0
33508,Roseway,Motor Vehicle Theft,45.54819168,-122.5792471,7669489.0,692812.0
33509,Roseway,Drug Equipment Violations,45.5481038,-122.5792517,7669487.0,692780.0
33510,Roseway,Weapons Law Violations,45.5481038,-122.5792517,7669487.0,692780.0
33511,Roseway,Robbery,45.5481038,-122.5792517,7669487.0,692780.0
33512,Roseway,All Other Larceny,45.5481038,-122.5792517,7669487.0,692780.0
33513,Cully,Burglary,,,,
33514,Cully,Motor Vehicle Theft,,,,
33515,Cully,Robbery,,,,
33516,Cully,Motor Vehicle Theft,,,,
33517,Cully,Theft From Motor Vehicle,,,,
33518,Cully,Counterfeiting/Forgery,45.56263173,-122.578753,7669751.0,698072.0
33519,Cully,All Other Larceny,45.56263173,-122.578753,7669751.0,698072.0
33520,Forest Park,All Other Larceny,45.54336718,-122.7599982,7623151.0,692297.0
33521,Sellwood-Moreland,Theft of Motor Vehicle Parts or Accessories,45.46396831,-122.6599517,7648000.0,662657.0
33522,Sellwood-Moreland,Motor Vehicle Theft,45.46396858,-122.6590628,7648228.0,662651.0
33523,Sellwood-Moreland,Vandalism,45.46396565,-122.6529372,7649799.0,662608.0
33524,Sellwood-Moreland,Vandalism,45.46396565,-122.6529372,7649799.0,662608.0
33525,Sellwood-Moreland,Motor Vehicle Theft,45.46396565,-122.6529372,7649799.0,662608.0
33526,Sellwood-Moreland,Vandalism,45.46396565,-122.6529372,7649799.0,662608.0
33527,Sellwood-Moreland,All Other Larceny,45.46396565,-122.6529372,7649799.0,662608.0
33528,Sellwood-Moreland,Aggravated Assault,45.46396242,-122.6471042,7651295.0,662567.0
33529,Sellwood-Moreland,Vandalism,45.46396242,-122.6471042,7651295.0,662567.0
33530,Sellwood-Moreland,All Other Larceny,45.46396242,-122.6471042,7651295.0,662567.0
33531,Sellwood-Moreland,Vandalism,45.46396242,-122.6471042,7651295.0,662567.0
33532,Sellwood-Moreland,Theft From Motor Vehicle,45.46396078,-122.6449908,7651837.0,662552.0
33533,Sellwood-Moreland,Theft of Motor Vehicle Parts or Accessories,45.46395235,-122.6430917,7652324.0,662536.0
33534,Sellwood-Moreland,Vandalism,45.46374213,-122.6414189,7652751.0,662448.0
33535,Brentwood-Darlington,All Other Larceny,45.46476995,-122.610963,7660572.0,662617.0
33536,Brentwood-Darlington,Theft From Building,45.46417918,-122.6099663,7660822.0,662395.0
33537,Brentwood-Darlington,All Other Larceny,45.46441851,-122.5966054,7664251.0,662393.0
33538,Brentwood-Darlington,All Other Larceny,45.46441851,-122.5966054,7664251.0,662393.0
33539,Brentwood-Darlington,Simple Assault,45.46450701,-122.5932594,7665110.0,662403.0
33540,Brentwood-Darlington,Vandalism,45.46450701,-122.5932594,7665110.0,662403.0
33541,Brentwood-Darlington,Simple Assault,45.46450701,-122.5932594,7665110.0,662403.0
33542,Brentwood-Darlington,Vandalism,45.46450701,-122.5932594,7665110.0,662403.0
33543,Brentwood-Darlington,Burglary,45.46459566,-122.5892974,7666127.0,662409.0
33544,Brentwood-Darlington,Vandalism,45.46416615,-122.5791053,7668737.0,662185.0
33545,Lents,Intimidation,45.46471811,-122.5745286,7669916.0,662356.0
33546,Pleasant Valley,All Other Larceny,45.4641198,-122.4987703,7689341.0,661648.0
33547,Pleasant Valley,All Other Larceny,45.4641198,-122.4987703,7689341.0,661648.0
33548,Montavilla,Vandalism,45.51761295,-122.5796377,7669102.0,681669.0
33549,Montavilla,Aggravated Assault,45.52107004,-122.57978,7669098.0,682930.0
33550,Lents,Burglary,45.46402036,-122.5616327,7673217.0,662017.0
33551,Lents,All Other Larceny,45.46402036,-122.5616327,7673217.0,662017.0
33552,Lents,Theft From Motor Vehicle,45.46402036,-122.5616327,7673217.0,662017.0
33553,Lents,Vandalism,45.46402036,-122.5616327,7673217.0,662017.0
33554,Lents,Theft From Building,45.46407421,-122.5615372,7673242.0,662036.0
33555,Brentwood-Darlington,Motor Vehicle Theft,45.4751318,-122.5798965,7668637.0,666187.0
33556,Brentwood-Darlington,Vandalism,45.47347935,-122.5796371,7668688.0,665583.0
33557,Brentwood-Darlington,Vandalism,45.47347935,-122.5796371,7668688.0,665583.0
33558,Brentwood-Darlington,Burglary,45.47347935,-122.5796371,7668688.0,665583.0
33559,Brentwood-Darlington,Motor Vehicle Theft,45.47347935,-122.5796371,7668688.0,665583.0
33560,Foster-Powell,Intimidation,45.49137056,-122.5793285,7668935.0,672102.0
33561,Foster-Powell,Vandalism,45.49137056,-122.5793285,7668935.0,672102.0
33562,Foster-Powell,Credit Card/ATM Fraud,45.49137056,-122.5793285,7668935.0,672102.0
33563,Foster-Powell,Theft From Motor Vehicle,45.49137056,-122.5793285,7668935.0,672102.0
33564,Foster-Powell,Vandalism,45.49137056,-122.5793285,7668935.0,672102.0
33565,Foster-Powell,Theft From Motor Vehicle,45.49137056,-122.5793285,7668935.0,672102.0
33566,Montavilla,Counterfeiting/Forgery,45.50496704,-122.5792215,7669090.0,677057.0
33567,Montavilla,False Pretenses/Swindle/Confidence Game,45.50496704,-122.5792215,7669090.0,677057.0
33568,Montavilla,Vandalism,45.50496704,-122.5792215,7669090.0,677057.0
33569,South Tabor,Theft From Building,45.50488148,-122.5792496,7669082.0,677026.0
33570,Montavilla,False Pretenses/Swindle/Confidence Game,45.50496704,-122.5792215,7669090.0,677057.0
33571,Brentwood-Darlington,Burglary,45.46870739,-122.5796809,7668632.0,663844.0
33572,Foster-Powell,Burglary,45.48296539,-122.5792589,7668874.0,669038.0
33573,Mt Scott-Arleta,Burglary,45.48288757,-122.5793145,7668859.0,669010.0
33574,Foster-Powell,Simple Assault,45.48315658,-122.5797612,7668747.0,669111.0
33575,Mt Scott-Arleta,Burglary,45.48288757,-122.5793145,7668859.0,669010.0
33576,Mt Scott-Arleta,All Other Larceny,45.48288757,-122.5793145,7668859.0,669010.0
33577,Mt Scott-Arleta,Vandalism,45.48288757,-122.5793145,7668859.0,669010.0
33578,Foster-Powell,Robbery,45.48315658,-122.5797612,7668747.0,669111.0
33579,Mt Scott-Arleta,Burglary,45.48288757,-122.5793145,7668859.0,669010.0
33580,Foster-Powell,Vandalism,45.49613988,-122.5792768,7668993.0,673840.0
33581,Foster-Powell,Simple Assault,45.49613988,-122.5792768,7668993.0,673840.0
33582,Foster-Powell,Vandalism,45.49613988,-122.5792768,7668993.0,673840.0
33583,Foster-Powell,Aggravated Assault,45.49622768,-122.5792762,7668994.0,673872.0
33584,Brentwood-Darlington,Theft of Motor Vehicle Parts or Accessories,45.46735505,-122.5796665,7668623.0,663351.0
33585,Brentwood-Darlington,Simple Assault,45.4680379,-122.5796837,7668625.0,663600.0
33586,Brentwood-Darlington,Weapons Law Violations,45.46795009,-122.5796843,7668624.0,663568.0
33587,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.51007723,-122.5792837,7669122.0,678920.0
33588,Montavilla,Motor Vehicle Theft,45.51007723,-122.5792837,7669122.0,678920.0
33589,Montavilla,Motor Vehicle Theft,45.51007723,-122.5792837,7669122.0,678920.0
33590,Montavilla,Motor Vehicle Theft,45.51007723,-122.5792837,7669122.0,678920.0
33591,Brentwood-Darlington,Motor Vehicle Theft,45.47096778,-122.5795491,7668687.0,664667.0
33592,Foster-Powell,Burglary,45.49737214,-122.5792556,7669010.0,674289.0
33593,Foster-Powell,Burglary,45.49737214,-122.5792556,7669010.0,674289.0
33594,Foster-Powell,Vandalism,45.49737214,-122.5792556,7669010.0,674289.0
33595,Foster-Powell,Vandalism,45.49737214,-122.5792556,7669010.0,674289.0
33596,South Tabor,Vandalism,45.49745995,-122.5792549,7669011.0,674321.0
33597,Foster-Powell,Motor Vehicle Theft,45.49737214,-122.5792556,7669010.0,674289.0
33598,South Tabor,Burglary,45.49745995,-122.5792549,7669011.0,674321.0
33599,Foster-Powell,Vandalism,45.49737214,-122.5792556,7669010.0,674289.0
33600,South Tabor,Motor Vehicle Theft,45.49745995,-122.5792549,7669011.0,674321.0
33601,South Tabor,All Other Larceny,45.49745995,-122.5792549,7669011.0,674321.0
33602,Foster-Powell,Motor Vehicle Theft,45.48653585,-122.5793544,7668883.0,670340.0
33603,Foster-Powell,Motor Vehicle Theft,45.48653585,-122.5793544,7668883.0,670340.0
33604,Foster-Powell,Motor Vehicle Theft,45.48653585,-122.5793544,7668883.0,670340.0
33605,Foster-Powell,Theft of Motor Vehicle Parts or Accessories,45.48653585,-122.5793544,7668883.0,670340.0
33606,Foster-Powell,Theft From Motor Vehicle,45.4955416,-122.5792862,7668985.0,673622.0
33607,Foster-Powell,Theft From Motor Vehicle,45.4955416,-122.5792862,7668985.0,673622.0
33608,Montavilla,Burglary,45.51918766,-122.5804018,7668921.0,682248.0
33609,Montavilla,Vandalism,45.51917879,-122.5796795,7669106.0,682240.0
33610,Montavilla,Theft From Building,45.51917879,-122.5796795,7669106.0,682240.0
33611,Montavilla,Aggravated Assault,45.51917879,-122.5796795,7669106.0,682240.0
33612,Montavilla,Weapons Law Violations,45.51917879,-122.5796795,7669106.0,682240.0
33613,Montavilla,Robbery,45.51917879,-122.5796795,7669106.0,682240.0
33614,Montavilla,Theft From Building,45.51917879,-122.5796795,7669106.0,682240.0
33615,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.51917879,-122.5796795,7669106.0,682240.0
33616,Montavilla,Theft From Motor Vehicle,45.51918766,-122.5804018,7668921.0,682248.0
33617,Montavilla,All Other Larceny,45.51478176,-122.5794755,7669117.0,680636.0
33618,Montavilla,Simple Assault,45.51478176,-122.5794755,7669117.0,680636.0
33619,Montavilla,Arson,45.51478176,-122.5794755,7669117.0,680636.0
33620,Montavilla,Vandalism,45.51478176,-122.5794755,7669117.0,680636.0
33621,South Tabor,Motor Vehicle Theft,45.49999498,-122.579258,7669034.0,675245.0
33622,Mt Scott-Arleta,Vandalism,45.4776954,-122.5796861,7668715.0,667120.0
33623,Mt Scott-Arleta,Motor Vehicle Theft,45.47954437,-122.5795471,7668768.0,667793.0
33624,South Tabor,Theft From Motor Vehicle,45.50146845,-122.5792495,7669050.0,675782.0
33625,South Burlingame,Theft of Motor Vehicle Parts or Accessories,45.46581359,-122.6886966,7640646.0,663528.0
33626,Multnomah,Motor Vehicle Theft,45.46561082,-122.708879,7635468.0,663595.0
33627,Multnomah,Theft of Motor Vehicle Parts or Accessories,45.46571366,-122.7153596,7633807.0,663678.0
33628,Multnomah,Weapons Law Violations,45.46597186,-122.7167656,7633449.0,663782.0
33629,Multnomah,Theft of Motor Vehicle Parts or Accessories,45.46603465,-122.7193377,7632790.0,663823.0
33630,Ashcreek,Theft of Motor Vehicle Parts or Accessories,45.46574863,-122.7322487,7629476.0,663810.0
33631,Hillsdale,Theft From Motor Vehicle,45.46610438,-122.6970288,7638512.0,663692.0
33632,Hillsdale,Vandalism,45.46610438,-122.6970288,7638512.0,663692.0
33633,Hillsdale,Simple Assault,45.46610438,-122.6970288,7638512.0,663692.0
33634,Hillsdale,All Other Larceny,45.46610438,-122.6970288,7638512.0,663692.0
33635,Hillsdale,Motor Vehicle Theft,45.46610438,-122.6970288,7638512.0,663692.0
33636,Hillsdale,Credit Card/ATM Fraud,45.46610438,-122.6970288,7638512.0,663692.0
33637,Hillsdale,Credit Card/ATM Fraud,45.46610438,-122.6970288,7638512.0,663692.0
33638,Hillsdale,Theft From Building,45.46610438,-122.6970288,7638512.0,663692.0
33639,Hillsdale,Theft From Building,45.46610438,-122.6970288,7638512.0,663692.0
33640,Hillsdale,All Other Larceny,45.46610438,-122.6970288,7638512.0,663692.0
33641,Hillsdale,All Other Larceny,45.46610438,-122.6970288,7638512.0,663692.0
33642,,Theft From Motor Vehicle,45.51151068,-122.7595226,7622948.0,680683.0
33643,Piedmont,Motor Vehicle Theft,45.58288353,-122.6717673,7646135.0,706080.0
33644,Cathedral Park,All Other Larceny,45.58529865,-122.7540221,7625108.0,707537.0
33645,Kenton,Intimidation,45.58290088,-122.6924022,7640854.0,706229.0
33646,Kenton,Theft From Motor Vehicle,45.58290088,-122.6924022,7640854.0,706229.0
33647,Kenton,Simple Assault,45.58290088,-122.6924022,7640854.0,706229.0
33648,Kenton,Motor Vehicle Theft,45.58290088,-122.6924022,7640854.0,706229.0
33649,Kenton,Vandalism,45.58274952,-122.6869497,7642248.0,706136.0
33650,Kenton,Burglary,45.58274915,-122.6868246,7642280.0,706135.0
33651,Kenton,Theft From Building,45.58274915,-122.6868246,7642280.0,706135.0
33652,Kenton,Vandalism,45.58274952,-122.6869497,7642248.0,706136.0
33653,Kenton,Burglary,45.58274952,-122.6869497,7642248.0,706136.0
33654,Kenton,Burglary,45.58274952,-122.6869497,7642248.0,706136.0
33655,Kenton,Theft From Building,45.58274915,-122.6868246,7642280.0,706135.0
33656,Kenton,Vandalism,45.58274915,-122.6868246,7642280.0,706135.0
33657,Cathedral Park,Burglary,45.58587075,-122.7536697,7625204.0,707743.0
33658,St Johns,Vandalism,45.59641883,-122.7474292,7626908.0,711543.0
33659,Portsmouth,All Other Larceny,45.5832846,-122.7164744,7634697.0,706537.0
33660,Kenton,Simple Assault,45.58275644,-122.7065566,7637230.0,706275.0
33661,Kenton,Motor Vehicle Theft,45.58275678,-122.7066817,7637198.0,706276.0
33662,Kenton,Vandalism,45.58275644,-122.7065566,7637230.0,706275.0
33663,Kenton,Motor Vehicle Theft,45.5828903,-122.6837277,7643074.0,706165.0
33664,Kenton,Motor Vehicle Theft,45.5828903,-122.6837277,7643074.0,706165.0
33665,Kenton,Theft From Motor Vehicle,45.58268942,-122.6824579,7643397.0,706083.0
33666,Kenton,Theft of Motor Vehicle Parts or Accessories,45.58268942,-122.6824579,7643397.0,706083.0
33667,St Johns,All Other Larceny,45.58854179,-122.7519158,7625680.0,708704.0
33668,St Johns,Motor Vehicle Theft,45.60084847,-122.7453926,7627474.0,713143.0
33669,St Johns,Motor Vehicle Theft,45.64333778,-122.7646706,7622976.0,728767.0
33670,St Johns,Motor Vehicle Theft,45.5891113,-122.7515554,7625778.0,708909.0
33671,St Johns,Burglary,45.5891113,-122.7515554,7625778.0,708909.0
33672,St Johns,Shoplifting,45.58919187,-122.7515039,7625792.0,708938.0
33673,Piedmont,Motor Vehicle Theft,45.58254895,-122.6775646,7644648.0,705998.0
33674,Portsmouth,Burglary,45.58314476,-122.7154726,7634952.0,706479.0
33675,Kenton,Theft From Motor Vehicle,45.58321374,-122.6972867,7639607.0,706377.0
33676,St Johns,All Other Larceny,45.59885063,-122.7462593,7627232.0,712421.0
33677,Kenton,All Other Larceny,45.58298821,-122.7026232,7638239.0,706332.0
33678,Kenton,Aggravated Assault,45.58299714,-122.7053078,7637552.0,706354.0
33679,Kenton,Theft of Motor Vehicle Parts or Accessories,45.58299748,-122.7054329,7637520.0,706355.0
33680,Kenton,Vandalism,45.58299748,-122.7054329,7637520.0,706355.0
33681,Portsmouth,Theft From Motor Vehicle,45.58279754,-122.7112743,7636023.0,706323.0
33682,Portsmouth,Vandalism,45.58279754,-122.7112743,7636023.0,706323.0
33683,Cathedral Park,All Other Larceny,45.5865159,-122.7532303,7625323.0,707975.0
33684,Cathedral Park,Theft From Motor Vehicle,45.5865159,-122.7532303,7625323.0,707975.0
33685,Madison South,Vandalism,45.53495622,-122.5783641,7669591.0,687982.0
33686,Madison South,False Pretenses/Swindle/Confidence Game,45.53495622,-122.5783641,7669591.0,687982.0
33687,Madison South,Vandalism,45.53495622,-122.5783641,7669591.0,687982.0
33688,Montavilla,All Other Larceny,45.52454389,-122.5785411,7669448.0,684188.0
33689,Madison South,Motor Vehicle Theft,45.5379846,-122.578393,7669612.0,689086.0
33690,Montavilla,Burglary,45.52637412,-122.5785262,7669469.0,684855.0
33691,Montavilla,Vandalism,45.52637412,-122.5785262,7669469.0,684855.0
33692,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.53013844,-122.5783673,7669545.0,686226.0
33693,Piedmont,Vandalism,45.58307265,-122.6623112,7648557.0,706084.0
33694,Piedmont,Vandalism,45.58307265,-122.6623112,7648557.0,706084.0
33695,Sunderland,Motor Vehicle Theft,45.58374658,-122.6623643,7648550.0,706330.0
33696,Sunderland,All Other Larceny,45.58374658,-122.6623643,7648550.0,706330.0
33697,Montavilla,Vandalism,45.53174611,-122.5782193,7669598.0,686811.0
33698,Montavilla,Motor Vehicle Theft,45.5294279,-122.5783647,7669539.0,685967.0
33699,Montavilla,Theft From Motor Vehicle,45.52951571,-122.578364,7669540.0,685999.0
33700,Madison South,Motor Vehicle Theft,45.5393552,-122.5783066,7669647.0,689585.0
33701,Madison South,Vandalism,45.5393552,-122.5783066,7669647.0,689585.0
33702,Sumner,Burglary,45.55265736,-122.5782314,7669791.0,694433.0
33703,Madison South,Theft of Motor Vehicle Parts or Accessories,45.55258172,-122.5781662,7669807.0,694405.0
33704,Sumner,Simple Assault,45.55265736,-122.5782314,7669791.0,694433.0
33705,Sumner,Intimidation,45.55265736,-122.5782314,7669791.0,694433.0
33706,Sumner,Robbery,45.55265736,-122.5782314,7669791.0,694433.0
33707,Sumner,Simple Assault,45.55265736,-122.5782314,7669791.0,694433.0
33708,Sumner,Vandalism,45.55265736,-122.5782314,7669791.0,694433.0
33709,Sumner,All Other Larceny,45.55265736,-122.5782314,7669791.0,694433.0
33710,Sumner,Vandalism,45.55265736,-122.5782314,7669791.0,694433.0
33711,Madison South,Theft From Motor Vehicle,45.55258172,-122.5781662,7669807.0,694405.0
33712,Sumner,Robbery,45.55265736,-122.5782314,7669791.0,694433.0
33713,Sumner,Motor Vehicle Theft,45.55265736,-122.5782314,7669791.0,694433.0
33714,Sumner,Motor Vehicle Theft,45.55265736,-122.5782314,7669791.0,694433.0
33715,Sumner,Theft of Motor Vehicle Parts or Accessories,45.55265736,-122.5782314,7669791.0,694433.0
33716,Madison South,Theft From Motor Vehicle,45.55258172,-122.5781662,7669807.0,694405.0
33717,Sumner,Motor Vehicle Theft,45.55265736,-122.5782314,7669791.0,694433.0
33718,Sumner,Motor Vehicle Theft,45.55265736,-122.5782314,7669791.0,694433.0
33719,Sumner,Vandalism,45.55265736,-122.5782314,7669791.0,694433.0
33720,Sumner,Purchasing Prostitution,45.55265736,-122.5782314,7669791.0,694433.0
33721,Sumner,Purchasing Prostitution,45.55265736,-122.5782314,7669791.0,694433.0
33722,Sumner,Weapons Law Violations,45.55265736,-122.5782314,7669791.0,694433.0
33723,Sumner,All Other Larceny,45.55265736,-122.5782314,7669791.0,694433.0
33724,Sumner,Aggravated Assault,45.55265736,-122.5782314,7669791.0,694433.0
33725,Sumner,Motor Vehicle Theft,45.55265736,-122.5782314,7669791.0,694433.0
33726,Sumner,Burglary,45.55265736,-122.5782314,7669791.0,694433.0
33727,Sumner,All Other Larceny,45.55265736,-122.5782314,7669791.0,694433.0
33728,Sumner,Credit Card/ATM Fraud,45.55265736,-122.5782314,7669791.0,694433.0
33729,Sumner,Theft From Building,45.55265736,-122.5782314,7669791.0,694433.0
33730,Sumner,Theft of Motor Vehicle Parts or Accessories,45.55265736,-122.5782314,7669791.0,694433.0
33731,Sumner,Theft of Motor Vehicle Parts or Accessories,45.55265736,-122.5782314,7669791.0,694433.0
33732,Madison South,Motor Vehicle Theft,45.53867348,-122.5783792,7669622.0,689337.0
33733,Madison South,Motor Vehicle Theft,45.53724496,-122.5783308,7669621.0,688816.0
33734,Madison South,Motor Vehicle Theft,45.53715715,-122.5783315,7669620.0,688784.0
33735,Montavilla,Motor Vehicle Theft,45.53243612,-122.5782953,7669585.0,687063.0
33736,Montavilla,Motor Vehicle Theft,45.53234831,-122.578296,7669584.0,687031.0
33737,Montavilla,Vandalism,45.53243612,-122.5782953,7669585.0,687063.0
33738,Sumner,All Other Larceny,45.55991835,-122.5781459,7669881.0,697079.0
33739,Sumner,Motor Vehicle Theft,45.55790339,-122.5780603,7669884.0,696344.0
33740,Northwest Heights,Burglary,45.53357672,-122.7617126,7622612.0,688741.0
33741,Forest Park,Identity Theft,45.54389683,-122.7611087,7622872.0,692498.0
33742,Sellwood-Moreland,Extortion/Blackmail,45.46325784,-122.6599442,7647995.0,662398.0
33743,Sellwood-Moreland,Theft From Motor Vehicle,45.46325784,-122.6599442,7647995.0,662398.0
33744,Sellwood-Moreland,Vandalism,45.46325784,-122.6599442,7647995.0,662398.0
33745,Sellwood-Moreland,Vandalism,45.46325784,-122.6599442,7647995.0,662398.0
33746,Sellwood-Moreland,All Other Larceny,45.46325784,-122.6599442,7647995.0,662398.0
33747,Sellwood-Moreland,All Other Larceny,45.46325784,-122.6599442,7647995.0,662398.0
33748,Sellwood-Moreland,Theft From Motor Vehicle,45.46325492,-122.6570355,7648741.0,662377.0
33749,Sellwood-Moreland,Vandalism,45.46324913,-122.6471006,7651289.0,662307.0
33750,Ardenwald,Vandalism,45.4639732,-122.6368228,7653932.0,662501.0
33751,Brentwood-Darlington,False Pretenses/Swindle/Confidence Game,45.46393449,-122.594564,7664770.0,662203.0
33752,Brentwood-Darlington,Theft of Motor Vehicle Parts or Accessories,45.46440808,-122.5836175,7667582.0,662303.0
33753,Lents,Theft of Motor Vehicle Parts or Accessories,45.46383473,-122.5717905,7670610.0,662016.0
33754,Pleasant Valley,Motor Vehicle Theft,45.46305635,-122.4968186,7689832.0,661248.0
33755,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.51760558,-122.5785291,7669386.0,681659.0
33756,Montavilla,Theft From Motor Vehicle,45.51760558,-122.5785291,7669386.0,681659.0
33757,Lents,Motor Vehicle Theft,45.46320581,-122.5605465,7673488.0,661713.0
33758,Lents,Motor Vehicle Theft,45.4632889,-122.5605028,7673500.0,661743.0
33759,Lents,Vandalism,45.46320581,-122.5605465,7673488.0,661713.0
33760,Lents,Motor Vehicle Theft,45.46320581,-122.5605465,7673488.0,661713.0
33761,Lents,All Other Larceny,45.46320581,-122.5605465,7673488.0,661713.0
33762,Lents,Vandalism,45.46320581,-122.5605465,7673488.0,661713.0
33763,Pleasant Valley,Theft From Motor Vehicle,45.463641,-122.5262365,7682292.0,661649.0
33764,Lents,Theft of Motor Vehicle Parts or Accessories,45.46155646,-122.5785264,7668861.0,661230.0
33765,Lents,All Other Larceny,45.46155646,-122.5785264,7668861.0,661230.0
33766,Lents,Theft of Motor Vehicle Parts or Accessories,45.46155646,-122.5785264,7668861.0,661230.0
33767,Lents,Motor Vehicle Theft,45.46155646,-122.5785264,7668861.0,661230.0
33768,Powellhurst-Gilbert,Robbery,45.50468301,-122.5782396,7669339.0,676947.0
33769,Lents,Vandalism,45.46861039,-122.5785231,7668928.0,663801.0
33770,Lents,Burglary,45.4633463,-122.578623,7668853.0,661883.0
33771,Lents,Burglary,45.4633463,-122.578623,7668853.0,661883.0
33772,Lents,Theft From Building,45.4633463,-122.578623,7668853.0,661883.0
33773,Lents,Motor Vehicle Theft,45.46325842,-122.5786276,7668851.0,661851.0
33774,Lents,Aggravated Assault,45.4633463,-122.578623,7668853.0,661883.0
33775,Lents,Aggravated Assault,45.4633463,-122.578623,7668853.0,661883.0
33776,Lents,Counterfeiting/Forgery,45.4633463,-122.578623,7668853.0,661883.0
33777,Montavilla,Vandalism,45.50831195,-122.5781344,7669400.0,678269.0
33778,Montavilla,Burglary,45.50831195,-122.5781344,7669400.0,678269.0
33779,Montavilla,Vandalism,45.50831195,-122.5781344,7669400.0,678269.0
33780,Montavilla,Robbery,45.50831195,-122.5781344,7669400.0,678269.0
33781,Montavilla,Simple Assault,45.50831195,-122.5781344,7669400.0,678269.0
33782,Montavilla,Vandalism,45.50831195,-122.5781344,7669400.0,678269.0
33783,Montavilla,Motor Vehicle Theft,45.50831195,-122.5781344,7669400.0,678269.0
33784,Montavilla,Robbery,45.50831195,-122.5781344,7669400.0,678269.0
33785,Montavilla,Theft From Building,45.50831195,-122.5781344,7669400.0,678269.0
33786,Montavilla,Motor Vehicle Theft,45.50831195,-122.5781344,7669400.0,678269.0
33787,Montavilla,Theft From Motor Vehicle,45.50831195,-122.5781344,7669400.0,678269.0
33788,Montavilla,Credit Card/ATM Fraud,45.50831195,-122.5781344,7669400.0,678269.0
33789,Lents,Burglary,45.48357912,-122.5783959,7669101.0,669256.0
33790,Powellhurst-Gilbert,Theft From Motor Vehicle,45.49912626,-122.5781416,7669312.0,674921.0
33791,Powellhurst-Gilbert,Motor Vehicle Theft,45.49912626,-122.5781416,7669312.0,674921.0
33792,Lents,Motor Vehicle Theft,45.46691735,-122.5785353,7668909.0,663184.0
33793,Powellhurst-Gilbert,Simple Assault,45.49745327,-122.5781077,7669305.0,674311.0
33794,Powellhurst-Gilbert,Vandalism,45.49745327,-122.5781077,7669305.0,674311.0
33795,Powellhurst-Gilbert,False Pretenses/Swindle/Confidence Game,45.49745327,-122.5781077,7669305.0,674311.0
33796,Powellhurst-Gilbert,Burglary,45.49745327,-122.5781077,7669305.0,674311.0
33797,Powellhurst-Gilbert,Burglary,45.49745327,-122.5781077,7669305.0,674311.0
33798,Powellhurst-Gilbert,Simple Assault,45.49745327,-122.5781077,7669305.0,674311.0
33799,Powellhurst-Gilbert,Burglary,45.49745327,-122.5781077,7669305.0,674311.0
33800,Powellhurst-Gilbert,Shoplifting,45.49745327,-122.5781077,7669305.0,674311.0
33801,Lents,Shoplifting,45.49736821,-122.5781085,7669304.0,674280.0
33802,Lents,Counterfeiting/Forgery,45.49691771,-122.5781388,7669292.0,674116.0
33803,Lents,False Pretenses/Swindle/Confidence Game,45.49691771,-122.5781388,7669292.0,674116.0
33804,Lents,Vandalism,45.49691771,-122.5781388,7669292.0,674116.0
33805,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.51908382,-122.5785598,7669392.0,682198.0
33806,Montavilla,Counterfeiting/Forgery,45.51908382,-122.5785598,7669392.0,682198.0
33807,Montavilla,Vandalism,45.51908382,-122.5785598,7669392.0,682198.0
33808,Montavilla,Theft of Motor Vehicle Parts or Accessories,45.51908382,-122.5785598,7669392.0,682198.0
33809,Montavilla,Extortion/Blackmail,45.51834565,-122.5785679,7669383.0,681929.0
33810,Montavilla,Aggravated Assault,45.51834565,-122.5785679,7669383.0,681929.0
33811,Montavilla,All Other Larceny,45.51834565,-122.5785679,7669383.0,681929.0
33812,Lents,Burglary,45.47949153,-122.578223,7669107.0,667765.0
