,Address,Price,Zip Code,size
215,"4025 NE 69th Ave, Portland, OR 97213",475000,97213,731
216,"2221 SW 1st Ave Apt 1824, Portland, OR 97201",495000,97201,1473
217,"14412 NW Whistler Ln, Portland, OR 97229",790000,97229,2835
218,"2445 NW Westover Rd Unit 201, Portland, OR 97210",600000,97210,1264
219,"7403 N Omaha Ave, Portland, OR 97217",375000,97217,768
220,"2504 NE 32nd Pl, Portland, OR 97212",700000,97212,2780
221,"5003 NE Halsey St, Portland, OR 97213",660000,97213,2114
222,"9233 SW 52nd Ave, Portland, OR 97219",875000,97219,2933
223,"2604 SW Stanley Ct, Portland, OR 97219",649900,97219,1820
224,"4114 NE 76th Ave, Portland, OR 97218",449000,97218,1364
225,"3924 SE Woodward St, Portland, OR 97202",825000,97202,3119
226,"7510 NW Lauren Ave, Portland, OR 97229",699000,97229,1999
227,"4417 NE Killingsworth St Unit 113, Portland, OR 97218",439000,97218,1551
228,"836 NE 78th Ave, Portland, OR 97213",425000,97213,788
229,"2728 SE 70th Ave, Portland, OR 97206",635000,97206,2464
230,"9155 SW 23rd Dr, Portland, OR 97219",399900,97219,1056
231,"2438 NW Jean Ln, Portland, OR 97229",575000,97229,2028
232,"8954 N Van Houten Ave, Portland, OR 97203",639000,97203,2688
233,"14010 NW Tradewind St, Portland, OR 97229",829900,97229,2636
234,"4623 NE 15th Ave, Portland, OR 97211",649950,97211,1884
235,"4504 NE 25th Ave, Portland, OR 97211",639000,97211,2472
236,"10420 SE Raymond St, Portland, OR 97266",445000,97266,1681
237,"204 SE 32nd Ave, Portland, OR 97214",950000,97214,3123
238,"1625 SW Montgomery St Unit B, Portland, OR 97201",949000,97201,2634
239,"1116 NE 60th Ave, Portland, OR 97213",320000,97213,912
240,"11902 SW 60th Ave, Portland, OR 97219",985000,97219,4369
241,"7227 SW 5th Ave, Portland, OR 97219",600000,97219,2438
242,"8308 SE 64th Ave, Portland, OR 97206",529950,97206,2508
243,"1320 SW Hall St Apt 103, Portland, OR 97201",349500,97201,1206
244,"7222 SE 36th Ave, Portland, OR 97202",675000,97202,1712
245,"4734 SW Coronado St, Portland, OR 97219",475000,97219,1080
246,"10505 SW 43rd Ave, Portland, OR 97219",574990,97219,2030
247,"1476 NE Sumner St, Portland, OR 97211",575000,97211,1774
248,"45 S Mitchell St, Portland, OR 97239",519900,97239,1716
249,"8240 NE Thompson St, Portland, OR 97220",474900,97220,1272
250,"2319 NE 92nd Ave, Portland, OR 97220",485000,97220,1546
251,"8219 SE 67th Ave, Portland, OR 97206",419900,97206,1381
252,"5614 NE 14th Ave, Portland, OR 97211",540000,97211,1824
253,"3544 SE 158th Ave, Portland, OR 97236",415000,97236,3136
254,"5216 SW Pomona St, Portland, OR 97219",750000,97219,2182
255,"4719 N Willamette Blvd, Portland, OR 97203",775000,97203,2818
256,"8317 N Smith St, Portland, OR 97203",599900,97203,2181
257,"17321 NE Couch St, Portland, OR 97230",419900,97230,1256
258,"567 N Blandena St, Portland, OR 97217",325000,97217,2016
259,"2530 NE Killingsworth St Apt 4, Portland, OR 97211",315000,97211,791
260,"1404 SW Westwood Ct, Portland, OR 97239",874900,97239,3021
261,"3711 N Alaska Pl, Portland, OR 97217",500000,97217,980
262,"3112 SE Gladstone St, Portland, OR 97202",650000,97202,3789
263,"3415 NE 26th Ave, Portland, OR 97212",705000,97212,1981
264,"1125 NE Sumner St, Portland, OR 97211",665000,97211,2027
265,"313 NE Morris St, Portland, OR 97212",535000,97212,1507
266,"5754 S Riverpoint Ln, Portland, OR 97239",525000,97239,1206
267,"5309 SE 72nd Pl, Portland, OR 97206",495000,97206,1409
268,"2817 NE Fremont St, Portland, OR 97212",790000,97212,2134
269,"5047 SE Ellis St, Portland, OR 97206",895000,97206,2862
270,"3333 SE Rex St, Portland, OR 97202",599000,97202,2362
271,"949 NW Overton St Units 502 & 4, Portland, OR 97209",1695000,97209,2460
272,"9718 NE Prescott St, Portland, OR 97220",549500,97220,2622
273,"1811 N Colfax St, Portland, OR 97217",605000,97217,1650
274,"1621 SE 87th Ave, Portland, OR 97216",695000,97216,2885
275,"6417 N Montana Ave Unit 5, Portland, OR 97217",419900,97217,1143
276,"2414 SE Yamhill St, Portland, OR 97214",717500,97214,2386
277,"5225 SE 37th Ave, Portland, OR 97202",800000,97202,2204
278,"2836 N Killingsworth St, Portland, OR 97217",650000,97217,2263
279,"189 N Lotus Beach Dr, Portland, OR 97217",949000,97217,3124
280,"12134 SE Woodward Pl, Portland, OR 97266",319888,97266,1217
281,"5820 SE 20th Ave, Portland, OR 97202",495000,97202,1505
282,"12563 NW Millford St, Portland, OR 97229",799000,97229,2654
283,"11740 NW Cedar Falls Dr, Portland, OR 97229",567000,97229,1450
284,"10121 SE Pine St, Portland, OR 97216",424900,97216,2754
285,"8710 SE Cora St, Portland, OR 97266",499900,97266,2071
286,"6805 N Albina Ave, Portland, OR 97217",565000,97217,1800
287,"4051 N Commercial Ave, Portland, OR 97227",1099950,97227,2776
288,"4057 N Commercial Ave, Portland, OR 97227",1099950,97227,2776
289,"4647 NW Driver Pl, Portland, OR 97229",975000,97229,2917
290,"6029 SE 86th Ave, Portland, OR 97266",375000,97266,1328
291,"8701 N Tyndall Ave, Portland, OR 97217",584000,97217,1808
292,"17061 SE Manley St, Portland, OR 97236",849999,97236,3252
293,"1132 SW 19th Ave Unit 803, Portland, OR 97205",599900,97205,1374
294,"2828 S Water Ave, Portland, OR 97201",750000,97201,3841
295,"4435 NW Kahneeta Dr, Portland, OR 97229",719900,97229,2619
296,"13045 SE Stark St Unit 138, Portland, OR 97233",79900,97233,800
297,"829 NE 90th Ave, Portland, OR 97220",269000,97220,1225
298,"1744 SE Umatilla St, Portland, OR 97202",525000,97202,1232
299,"600 NE Ivy St, Portland, OR 97212",1500000,97212,3850
300,"13055 SE Stark St Unit 29, Portland, OR 97233",95000,97233,1241
301,"1724 SE 54th Ave, Portland, OR 97215",850000,97215,2940
302,"1001 NW Lovejoy St Unit 306, Portland, OR 97209",950000,97209,1501
303,"14050 NE Brazee St, Portland, OR 97230",385000,97230,1814
304,"6323 SW Flower St, Portland, OR 97221",975000,97221,3400
305,"3017 NE 10th Ave, Portland, OR 97212",1450000,97212,3997
306,"5005 NE Flanders St, Portland, OR 97213",465000,97213,1755
307,"1500 SW 5th Ave Unit 2003, Portland, OR 97201",650000,97201,1319
308,"2306 NE 51st Ave, Portland, OR 97213",649000,97213,2400
309,"402 SE 29th Ave, Portland, OR 97214",829000,97214,2684
310,"2525 NE 161st Ave, Portland, OR 97230",477000,97230,1267
311,"2328 NW Pinnacle Dr, Portland, OR 97229",1299000,97229,4928
312,"4436 NE Wygant St, Portland, OR 97218",599900,97218,2084
313,"2934 NE 67th Ave, Portland, OR 97213",600000,97213,2049
314,"239 SE 136th Ave, Portland, OR 97233",575000,97233,3000
315,"15627 SE Woodward Ct, Portland, OR 97236",389850,97236,1296
316,"18699 NE Marine Dr Slip C8, Portland, OR 97230",425000,97230,1890
317,"1400 NE 28th Ave, Portland, OR 97232",889000,97232,3115
318,"1211 SE 53rd Ave, Portland, OR 97215",595000,97215,1070
319,"5310 NE 41st Ave, Portland, OR 97211",500000,97211,2084
320,"6925 NE 23rd Ave, Portland, OR 97211",349000,97211,2308
